"No","Module","Title","RazorFile","Route","URL","Type","DesignStatus","Notes"
"138","Organization","الهيكل الإداري","Organization/Chart.cshtml","/Organization/Chart","https://zynorahr.com/Organization/Chart","UI","Pending",""
"139","Organization","الهياكل التنظيمية","Organization/Index.cshtml","/Organization","https://zynorahr.com/Organization","UI","Pending",""
"140","OrgStructures","الهياكل التنظيمية","OrgStructures/Index.cshtml","/OrgStructures","https://zynorahr.com/OrgStructures","UI","Pending",""
"141","Payroll","رسوم الرواتب","Payroll/Analytics.cshtml","/Payroll/Analytics","https://zynorahr.com/Payroll/Analytics","UI","Pending",""
"142","Payroll","قوالب ملفات البنوك","Payroll/BankTemplates.cshtml","/Payroll/BankTemplates","https://zynorahr.com/Payroll/BankTemplates","UI","Pending",""
"143","Payroll","نهاية الخدمة","Payroll/EndOfService.cshtml","/Payroll/EndOfService","https://zynorahr.com/Payroll/EndOfService","UI","Pending",""
"144","Payroll","أسعار الصرف","Payroll/ExchangeRates.cshtml","/Payroll/ExchangeRates","https://zynorahr.com/Payroll/ExchangeRates","UI","Pending",""
"145","Payroll","مركز الطلبات المالية","Payroll/FinancialRequests.cshtml","/Payroll/FinancialRequests","https://zynorahr.com/Payroll/FinancialRequests","UI","Pending",""
"146","Payroll","بدل إجازة","Payroll/LeaveEncashment.cshtml","/Payroll/LeaveEncashment","https://zynorahr.com/Payroll/LeaveEncashment","UI","Pending",""
"147","Payroll","القروض والسُّلف","Payroll/Loans.cshtml","/Payroll/Loans","https://zynorahr.com/Payroll/Loans","UI","Pending",""
"148","Payroll","العمل الإضافي","Payroll/Overtime.cshtml","/Payroll/Overtime","https://zynorahr.com/Payroll/Overtime","UI","Pending",""
"149","Payroll","استعلام قسائم الراتب","Payroll/PayslipInquiry.cshtml","/Payroll/PayslipInquiry","https://zynorahr.com/Payroll/PayslipInquiry","UI","Pending",""
"150","Payroll","Payroll/PayslipPrint.cshtml","Payroll/PayslipPrint.cshtml","/Payroll/PayslipPrint","https://zynorahr.com/Payroll/PayslipPrint","Print","Pending",""
"151","Payroll","زيادات الراتب","Payroll/Raises.cshtml","/Payroll/Raises","https://zynorahr.com/Payroll/Raises","UI","Pending",""
"152","Payroll","تفاصيل المسير","Payroll/RunDetail.cshtml","/Payroll/RunDetail","https://zynorahr.com/Payroll/RunDetail","UI","Pending",""
"153","Payroll","المسير","Payroll/Runs.cshtml","/Payroll/Runs","https://zynorahr.com/Payroll/Runs","UI","Pending",""
"154","Payroll","تعديل أيام الراتب","Payroll/SalaryDaysAdjustment.cshtml","/Payroll/SalaryDaysAdjustment","https://zynorahr.com/Payroll/SalaryDaysAdjustment","UI","Pending",""
"155","Payroll","عناصر الراتب","Payroll/SalaryItems.cshtml","/Payroll/SalaryItems","https://zynorahr.com/Payroll/SalaryItems","UI","Pending",""
"156","Payroll","سلم الرواتب","Payroll/SalaryScale.cshtml","/Payroll/SalaryScale","https://zynorahr.com/Payroll/SalaryScale","UI","Pending",""
"157","Payroll","كشف الرواتب","Payroll/SalarySheet.cshtml","/Payroll/SalarySheet","https://zynorahr.com/Payroll/SalarySheet","UI","Pending",""
"158","Payroll","الضريبة والضمان","Payroll/Settings.cshtml","/Payroll/Settings","https://zynorahr.com/Payroll/Settings","UI","Pending",""
"159","Payroll","نظام المحاكاة","Payroll/Simulator.cshtml","/Payroll/Simulator","https://zynorahr.com/Payroll/Simulator","UI","Pending",""
"160","Payroll","تسوية الإنهاء — الفروقات","Payroll/TerminationSettlement.cshtml","/Payroll/TerminationSettlement","https://zynorahr.com/Payroll/TerminationSettlement","UI","Pending",""
"161","Payroll","Payroll/Transactions.cshtml","Payroll/Transactions.cshtml","/Payroll/Transactions","https://zynorahr.com/Payroll/Transactions","UI","Pending",""
"162","Payroll","مدقق حركات الرواتب","Payroll/TransactionsAuditor.cshtml","/Payroll/TransactionsAuditor","https://zynorahr.com/Payroll/TransactionsAuditor","UI","Pending",""
"163","PayrollProvisions","حساب الاحتياطي","PayrollProvisions/Index.cshtml","/PayrollProvisions","https://zynorahr.com/PayrollProvisions","UI","Pending",""
"164","PeopleReports","PeopleReports/Index.cshtml","PeopleReports/Index.cshtml","/PeopleReports","https://zynorahr.com/PeopleReports","UI","Pending",""
"165","PeriodRules","القواعد الفترية","PeriodRules/Index.cshtml","/PeriodRules","https://zynorahr.com/PeriodRules","UI","Pending",""
"166","PositionCategories","فئات المناصب","PositionCategories/Index.cshtml","/PositionCategories","https://zynorahr.com/PositionCategories","UI","Pending",""
"167","PositionLevels","مستويات المناصب","PositionLevels/Index.cshtml","/PositionLevels","https://zynorahr.com/PositionLevels","UI","Pending",""
"168","Positions","استيراد المناصب","Positions/Import.cshtml","/Positions/Import","https://zynorahr.com/Positions/Import","UI","Pending",""
"169","Positions","المناصب الوظيفية","Positions/Index.cshtml","/Positions","https://zynorahr.com/Positions","UI","Pending",""
"170","Root","لا صلاحية للوصول","AccessDenied.cshtml","/AccessDenied","https://zynorahr.com/AccessDenied","UI","Pending",""
"171","Root","خطأ","Error.cshtml","/Error","https://zynorahr.com/Error","UI","Pending",""
"172","Root","لوحة التحكم","Index.cshtml","/","https://zynorahr.com/","UI","Pending",""
"173","Root","ThemeCss.cshtml","ThemeCss.cshtml","/theme/current.css","https://zynorahr.com/theme/current.css","Technical / API","Pending",""
"174","Root","التحقق من وثيقة","Verify.cshtml","/Verify","https://zynorahr.com/Verify","UI","Pending",""
"175","Roster","جدولة مناوبات العمل","Roster/Index.cshtml","/Roster","https://zynorahr.com/Roster","UI","Pending",""
"176","SelfServices","الخدمة الذاتية","SelfServices/Index.cshtml","/SelfServices","https://zynorahr.com/SelfServices","UI","Pending",""
"177","Settings","لغات بيانات الشركة","Settings/DataLanguages.cshtml","/Settings/DataLanguages","https://zynorahr.com/Settings/DataLanguages","UI","Pending",""
"178","Settings","قاموس اللغات","Settings/Dictionary.cshtml","/Settings/Dictionary","https://zynorahr.com/Settings/Dictionary","UI","Pending",""
"179","Settings","مركز الإعدادات","Settings/Index.cshtml","/Settings","https://zynorahr.com/Settings","UI","Pending",""
"180","Setup","Setup/Index.cshtml","Setup/Index.cshtml","/Setup","https://zynorahr.com/Setup","UI","Pending",""
"181","ShiftAssignments","مناوبات الموظفين","ShiftAssignments/Index.cshtml","/ShiftAssignments","https://zynorahr.com/ShiftAssignments","UI","Pending",""
"182","ShiftOverrides","تعديل مناوبات مؤقت","ShiftOverrides/Index.cshtml","/ShiftOverrides","https://zynorahr.com/ShiftOverrides","UI","Pending",""
"183","ShiftRules","قواعد المناوبات","ShiftRules/Index.cshtml","/ShiftRules","https://zynorahr.com/ShiftRules","UI","Pending",""
